1.29  0.03
1.35  0.03
1.40  0.03
1.45  0.04
1.49  0.04
1.52  0.05
1.55  0.07
1.58  0.07
1.61  0.08
1.62  0.07
1.64  0.08
1.67  0.09
1.68  0.09
1.70  0.09
1.71  0.10
1.73  0.09
1.74  0.11
1.75  0.10
1.77  0.10
1.78  0.10
1.79  0.09
1.81  0.10
1.82  0.10
1.84  0.10
1.86  0.17
1.87  0.17
1.88  0.18
1.89  0.18
1.90  0.18
1.91  0.21
1.92  0.21
1.93  0.24
1.94  0.23
1.95  0.23
1.96  0.25
1.98  0.27
1.99  0.28
2.00  0.29
2.01  0.25
2.02  0.23
2.03  0.24
2.04  0.23
2.05  0.20
2.06  0.24
2.07  0.32
2.09  0.31
2.08  0.31
