#relationsihp: ApCorr= C0 + C1*ci + C2*ci^2 + C3*ci^3
#Instr      C0          C1          C2         C3      range_min  range_max
acs     -4.8105889  7.1321111  -2.7329333  -0.0047888889  1.2995556  2.2256667
wfc3    -2.3570385  3.9190192  -1.7223846  -0.018826923  1.0980385  2.2358077
