#relationsihp: ApCorr= C0 + C1*ci + C2*ci^2 + C3*ci^3
#Instr      C0          C1          C2         C3      range_min  range_max
acs     -4.4520333  6.4638444  -2.3469444  -0.045177778  1.2995556  2.2256667
wfc3     -2.2204346  3.6325577  -1.5316269  -0.029242308  1.0980385  2.2358077
