1.10  0.03
1.17  0.03
1.24  0.03
1.30  0.03
1.35  0.03
1.39  0.04
1.43  0.04
1.46  0.05
1.49  0.05
1.52  0.06
1.54  0.06
1.56  0.07
1.59  0.07
1.61  0.07
1.62  0.07
1.64  0.08
1.66  0.07
1.68  0.07
1.69  0.07
1.71  0.08
1.72  0.08
1.74  0.08
1.75  0.08
1.76  0.08
1.78  0.08
1.79  0.10
1.80  0.11
1.81  0.11
1.82  0.10
1.83  0.10
1.84  0.11
1.85  0.14
1.86  0.11
1.87  0.17
1.88  0.16
1.89  0.20
1.90  0.21
1.91  0.23
1.92  0.20
1.93  0.21
1.94  0.22
1.95  0.22
1.96  0.24
1.97  0.25
1.98  0.25
1.99  0.25
2.00  0.24
2.01  0.24
2.02  0.21
2.03  0.21
2.04  0.20
2.05  0.20
2.06  0.19
2.07  0.23
2.08  0.32
