#relationsihp: ApCorr= C0 + C1*ci + C2*ci^2 + C3*ci^3
#Instr      C0          C1          C2         C3      range_min  range_max
acs     -4.0917667  5.8121556  -1.9913667  -0.087666667  1.2995556  2.2256667
wfc3     -2.0995962  3.3956654  -1.3947615  -0.035992308  1.0980385  2.2358077
